Jar_ID,DO,Unit_1,Location,Date_time,Lid_Treatment,Jar_type
J-105,14.983,%O2,Liquid,2019-01-04T15:10:28Z,Loose,Experimental
J-105,14.778,%O2,Liquid,2019-01-04T15:15:28Z,Loose,Experimental
J-105,15.413,%O2,Liquid,2019-01-04T15:20:28Z,Loose,Experimental
J-105,16.106,%O2,Liquid,2019-01-04T15:25:28Z,Loose,Experimental
J-105,15.388,%O2,Liquid,2019-01-04T15:30:28Z,Loose,Experimental
J-105,15.84,%O2,Liquid,2019-01-04T15:35:28Z,Loose,Experimental
J-105,15.415,%O2,Liquid,2019-01-04T15:40:28Z,Loose,Experimental
J-105,15.099,%O2,Liquid,2019-01-04T15:45:28Z,Loose,Experimental
J-105,15.74,%O2,Liquid,2019-01-04T15:50:28Z,Loose,Experimental
J-105,15.038,%O2,Liquid,2019-01-04T15:55:28Z,Loose,Experimental
J-105,15.042,%O2,Liquid,2019-01-04T16:00:28Z,Loose,Experimental
J-105,15.593,%O2,Liquid,2019-01-04T16:05:28Z,Loose,Experimental
J-105,15.113,%O2,Liquid,2019-01-04T16:10:28Z,Loose,Experimental
J-105,15.983,%O2,Liquid,2019-01-04T16:15:28Z,Loose,Experimental
J-105,15.643,%O2,Liquid,2019-01-04T16:20:28Z,Loose,Experimental
J-105,14.937,%O2,Liquid,2019-01-04T16:25:28Z,Loose,Experimental
J-105,15.953,%O2,Liquid,2019-01-04T16:30:28Z,Loose,Experimental
J-105,15.363,%O2,Liquid,2019-01-04T16:35:28Z,Loose,Experimental
J-105,14.761,%O2,Liquid,2019-01-04T16:40:28Z,Loose,Experimental
J-105,15.83,%O2,Liquid,2019-01-04T16:45:28Z,Loose,Experimental
J-105,15.419,%O2,Liquid,2019-01-04T16:50:28Z,Loose,Experimental
J-105,15.493,%O2,Liquid,2019-01-04T16:55:28Z,Loose,Experimental
J-105,15.953,%O2,Liquid,2019-01-04T17:00:28Z,Loose,Experimental
J-109,20.477,%O2,Liquid,2019-01-04T15:10:33Z,Tight,Experimental
J-109,20.523,%O2,Liquid,2019-01-04T15:15:33Z,Tight,Experimental
J-109,20.355,%O2,Liquid,2019-01-04T15:20:33Z,Tight,Experimental
J-109,20.521,%O2,Liquid,2019-01-04T15:25:33Z,Tight,Experimental
J-109,20.575,%O2,Liquid,2019-01-04T15:30:33Z,Tight,Experimental
J-109,20.483,%O2,Liquid,2019-01-04T15:35:33Z,Tight,Experimental
J-109,20.405,%O2,Liquid,2019-01-04T15:40:33Z,Tight,Experimental
J-109,20.5,%O2,Liquid,2019-01-04T15:45:33Z,Tight,Experimental
J-109,20.334,%O2,Liquid,2019-01-04T15:50:33Z,Tight,Experimental
J-109,20.606,%O2,Liquid,2019-01-04T15:55:33Z,Tight,Experimental
J-109,20.443,%O2,Liquid,2019-01-04T16:00:33Z,Tight,Experimental
